,Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers,-log10(pValue)
2631,R-RNO-5654726,Negative regulation of FGFR1 signaling,1,36,0.0034718873565435,0.9894603211101912,0.9907144498866054,7,14,0.0017723762501582,10116,Rattus norvegicus,PPP2R1A,,R-RNO-934559;R-RNO-1295613;R-RNO-1295632;R-RNO-1295609;R-RNO-1295599;R-RNO-1549564;R-RNO-1295622,0.004601616989074355
2632,R-RNO-9013407,RHOH GTPase cycle,1,36,0.0034718873565435,0.9894603211101912,0.9907144498866054,1,3,0.000379794910748196,10116,Rattus norvegicus,ROCK2,,R-RNO-9018758,0.004601616989074355
2633,R-RNO-3232142,SUMOylation of ubiquitinylation proteins,1,36,0.0034718873565435,0.9894603211101912,0.9907144498866054,1,3,0.000379794910748196,10116,Rattus norvegicus,NUP210,,R-RNO-5228523,0.004601616989074355
2634,R-RNO-400508,"Incretin synthesis, secretion, and inactivation",1,36,0.0034718873565435,0.9894603211101912,0.9907144498866054,1,9,0.0011393847322445,10116,Rattus norvegicus,GNB3,,R-RNO-383313,0.004601616989074355
2635,R-RNO-1489509,DAG and IP3 signaling,1,36,0.0034718873565435,0.9894603211101912,0.9907144498866054,1,10,0.0012659830358273,10116,Rattus norvegicus,PRKCE,,R-RNO-198314,0.004601616989074355
2636,R-RNO-5689896,Ovarian tumor domain proteases,1,36,0.0034718873565435,0.9894603211101912,0.9907144498866054,1,13,0.0016457779465755,10116,Rattus norvegicus,ESR1,,R-RNO-6783238,0.004601616989074355
2637,R-RNO-203615,eNOS activation,1,36,0.0034718873565435,0.9894603211101912,0.9907144498866054,1,19,0.0024053677680719,10116,Rattus norvegicus,SPR,,R-RNO-1497869,0.004601616989074355
2638,R-GGA-193648,NRAGE signals death through JNK,2,44,0.0050148165033052,0.9894654300008796,0.9974743987201626,1,3,0.0004416310908287944,9031,Gallus gallus,ITSN1;KALRN,,R-GGA-205039,0.004599374597682588
2639,R-RNO-112399,IRS-mediated signalling,2,52,0.0050149484038962,0.9894670161035266,0.9907144498866054,2,7,0.0008861881250791239,10116,Rattus norvegicus,TRIB3;FGFR2,,R-RNO-109700;R-RNO-109699,0.004598678428767191
2640,R-SSC-187037,Signaling by NTRK1 (TRKA),4,76,0.0076015203040608,0.9894880861623544,0.9921970602113253,4,37,0.0049353074563158,9823,Sus scrofa,EGR2;PPP2R1A;SRF;KRAS,,R-SSC-199959;R-SSC-9613213;R-SSC-9612509;R-SSC-170986,0.004589430507708089
2641,R-CFA-187037,Signaling by NTRK1 (TRKA),4,74,0.0076139520526803,0.9896133176756272,0.9928297628453584,4,36,0.0048589553246052,9615,Canis familiaris,EGR2;PPP2R1A;SRF;KRAS,,R-CFA-9613213;R-CFA-9612509;R-CFA-170986;R-CFA-199959,0.0045344688416288316
2642,R-RNO-9009391,Extra-nuclear estrogen signaling,4,79,0.0076188639213038,0.9896624037229068,0.9907144498866054,19,27,0.0034181541967337,10116,Rattus norvegicus,KRAS;ESR1;EGFR;GNAI2,,R-RNO-9021660;R-RNO-9021068;R-RNO-9625482;R-RNO-9633044;R-RNO-9021079;R-RNO-9632906;R-RNO-9632412;R-RNO-9624272;R-RNO-9632910;R-RNO-9632918;R-RNO-9021596;R-RNO-9021170;R-RNO-9625487;R-RNO-9632182;R-RNO-9634584;R-RNO-9021072;R-RNO-9021050;R-RNO-9625814;R-RNO-9021609,0.0045129278312017644
2643,R-RNO-2682334,EPH-Ephrin signaling,4,79,0.0076188639213038,0.9896624037229068,0.9907144498866054,6,38,0.0048107355361438,10116,Rattus norvegicus,NCSTN;ROCK2;ITSN1;KALRN,,R-RNO-3928656;R-RNO-3928576;R-RNO-3928595;R-RNO-3928617;R-RNO-3928612;R-RNO-3928601,0.0045129278312017644
2644,R-GGA-204998,"Cell death signalling via NRAGE, NRIF and NADE",3,56,0.0063824937314793,0.9897531162962656,0.9974743987201626,2,8,0.0011776829088767,9031,Gallus gallus,NCSTN;ITSN1;KALRN,,R-GGA-205039;R-GGA-205112,0.004473122171724902
2645,R-CFA-109704,PI3K Cascade,2,49,0.0050416709538018,0.989783592962953,0.9928297628453584,2,5,0.0006748549061951681,9615,Canis familiaris,TRIB3;FGFR2,,R-CFA-109699;R-CFA-109700,0.00445974949911086
2646,R-CFA-5654741,Signaling by FGFR3,2,49,0.0050416709538018,0.989783592962953,0.9928297628453584,10,43,0.0058037521932784,9615,Canis familiaris,PPP2R1A;KRAS,,R-CFA-1295632;R-CFA-1295613;R-CFA-8941628;R-CFA-5654413;R-CFA-1295622;R-CFA-1295609;R-CFA-1295599;R-CFA-1549564;R-CFA-934559;R-CFA-5654647,0.00445974949911086
2647,R-CFA-71403,Citric acid cycle (TCA cycle),2,49,0.0050416709538018,0.989783592962953,0.9928297628453584,3,17,0.0022945066810635,9615,Canis familiaris,FH;SUCLG2,,R-CFA-70982;R-CFA-451033;R-CFA-71775,0.00445974949911086
2648,R-CFA-5654733,Negative regulation of FGFR4 signaling,1,34,0.0034983022944747,0.9898197558215088,0.9928297628453584,7,14,0.0018895937373464,9615,Canis familiaris,PPP2R1A,,R-CFA-1295632;R-CFA-1295613;R-CFA-1295622;R-CFA-1295609;R-CFA-1295599;R-CFA-1549564;R-CFA-934559,0.004443882350843994
2649,R-CFA-2172127,DAP12 interactions,1,34,0.0034983022944747,0.9898197558215088,0.9928297628453584,1,9,0.0012147388311513,9615,Canis familiaris,KRAS,,R-CFA-2424477,0.004443882350843994
2650,R-CFA-2424491,DAP12 signaling,1,34,0.0034983022944747,0.9898197558215088,0.9928297628453584,1,9,0.0012147388311513,9615,Canis familiaris,KRAS,,R-CFA-2424477,0.004443882350843994
2651,R-CFA-168638,NOD1/2 Signaling Pathway,1,34,0.0034983022944747,0.9898197558215088,0.9928297628453584,1,16,0.0021595356998245,9615,Canis familiaris,MAPK13,,R-CFA-1247960,0.004443882350843994
2652,R-HSA-76042,RNA Polymerase II Transcription Initiation And Promoter Clearance,1,53,0.0035001981244221,0.989845076709335,0.989845076709335,9,11,0.0007895492391616423,9606,Homo sapiens,TAF2,,R-HSA-75873;R-HSA-75861;R-HSA-9613494;R-HSA-75864;R-HSA-75866;R-HSA-75850;R-HSA-9613497;R-HSA-75869;R-HSA-75949,0.0044327726703772
2653,R-HSA-168333,NEP/NS2 Interacts with the Cellular Export Machinery,1,53,0.0035001981244221,0.989845076709335,0.989845076709335,1,2,0.0001435544071202986,9606,Homo sapiens,NUP210,,R-HSA-168880,0.0044327726703772
2654,R-HSA-77286,mitochondrial fatty acid beta-oxidation of saturated fatty acids,1,53,0.0035001981244221,0.989845076709335,0.989845076709335,5,29,0.0020815389032443,9606,Homo sapiens,ECHS1,,R-HSA-77344;R-HSA-77314;R-HSA-77333;R-HSA-77256;R-HSA-77325,0.0044327726703772
2655,R-HSA-76009,Platelet Aggregation (Plug Formation),1,53,0.0035001981244221,0.989845076709335,0.989845076709335,1,27,0.001937984496124,9606,Homo sapiens,THPO,,R-HSA-443926,0.0044327726703772
2656,R-SSC-159227,Transport of the SLBP independent Mature mRNA,1,35,0.003500700140028,0.9898517711333308,0.9921970602113253,3,3,0.0004001600640256103,9823,Sus scrofa,NUP210,,R-SSC-158481;R-SSC-111439;R-SSC-158484,0.004429835502088953
2657,R-SSC-189445,Metabolism of porphyrins,3,64,0.0064012802560512,0.98995120608706,0.9921970602113253,4,30,0.0040016006402561,9823,Sus scrofa,ALAS2;ABCC2;SLCO1B3,,R-SSC-9661799;R-SSC-9661397;R-SSC-189442;R-SSC-5679041,0.004386210906868024
2658,R-SSC-186797,Signaling by PDGF,3,64,0.0064012802560512,0.98995120608706,0.9921970602113253,3,30,0.0040016006402561,9823,Sus scrofa,STAT1;COL6A3;KRAS,,R-SSC-186834;R-SSC-382054;R-SSC-380782,0.004386210906868024
2659,R-BTA-9033241,Peroxisomal protein import,3,67,0.0064182392949516,0.9901268522055796,0.9917786650805974,10,14,0.0017661158067364,9913,Bos taurus,HSD17B4;PEX14;PAOX,,R-BTA-9033527;R-BTA-9033499;R-BTA-9033485;R-BTA-9033514;R-BTA-9033533;R-BTA-8953946;R-BTA-8953917;R-BTA-9033235;R-BTA-9033516;R-BTA-9033236,0.004309161277514874
2660,R-MMU-2022928,HS-GAG biosynthesis,1,38,0.0035230854811793,0.9901458418511296,0.9901458418511296,11,12,0.0014644862094215,10090,Mus musculus,SDC1,,R-MMU-2076508;R-MMU-2076611;R-MMU-2024108;R-MMU-2022856;R-MMU-2022887;R-MMU-2076419;R-MMU-2076392;R-MMU-2076383;R-MMU-2022860;R-MMU-2022851;R-MMU-2022919,0.004300832022356551
2661,R-MMU-3232142,SUMOylation of ubiquitinylation proteins,1,38,0.0035230854811793,0.9901458418511296,0.9901458418511296,1,3,0.000366121552355382,10090,Mus musculus,NUP210,,R-MMU-5228523,0.004300832022356551
2662,R-MMU-8939243,RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known,1,38,0.0035230854811793,0.9901458418511296,0.9901458418511296,1,5,0.00061020258725897,10090,Mus musculus,SMARCA2,,R-MMU-8938217,0.004300832022356551
2663,R-MMU-5654687,Downstream signaling of activated FGFR1,1,38,0.0035230854811793,0.9901458418511296,0.9901458418511296,3,24,0.002928972418843,10090,Mus musculus,KRAS,,R-MMU-5654600;R-MMU-8941623;R-MMU-5654392,0.004300832022356551
2664,R-MMU-71240,Tryptophan catabolism,1,38,0.0035230854811793,0.9901458418511296,0.9901458418511296,1,10,0.0012204051745179,10090,Mus musculus,KMO,,R-MMU-71200,0.004300832022356551
2665,R-BTA-112399,IRS-mediated signalling,2,53,0.0050771146661557,0.9901891909409912,0.9917786650805974,2,7,0.0008830579033682352,9913,Bos taurus,TRIB3;FGFR2,,R-BTA-109699;R-BTA-109700,0.004281818804680066
2666,R-DRE-397795,G-protein beta:gamma signalling,1,36,0.0035273368606701,0.9902007214066268,0.9976233031343844,12,15,0.0020419275796351,7955,Danio rerio,GNB2,,R-DRE-8964604;R-DRE-398040;R-DRE-392295;R-DRE-8964317;R-DRE-8964599;R-DRE-398193;R-DRE-8964634;R-DRE-8964271;R-DRE-8964614;R-DRE-8964241;R-DRE-392300;R-DRE-8964605,0.004276761600976734
2667,R-DRE-392518,Signal amplification,1,36,0.0035273368606701,0.9902007214066268,0.9976233031343844,6,11,0.0014974135583991,7955,Danio rerio,GNB2,,R-DRE-392202;R-DRE-428917;R-DRE-428750;R-DRE-392195;R-DRE-418576;R-DRE-392187,0.004276761600976734
2668,R-DRE-176187,Activation of ATR in response to replication stress,1,36,0.0035273368606701,0.9902007214066268,0.9976233031343844,1,8,0.001089028042472,7955,Danio rerio,MCM8,,R-DRE-176298,0.004276761600976734
2669,R-DRE-5689896,Ovarian tumor domain proteases,1,36,0.0035273368606701,0.9902007214066268,0.9976233031343844,1,12,0.0016335420637081,7955,Danio rerio,ESR1,,R-DRE-6783238,0.004276761600976734
2670,R-DRE-168638,NOD1/2 Signaling Pathway,1,36,0.0035273368606701,0.9902007214066268,0.9976233031343844,1,14,0.0019057990743261,7955,Danio rerio,MAPK13,,R-DRE-1247960,0.004276761600976734
2671,R-GGA-159231,Transport of Mature mRNA Derived from an Intronless Transcript,1,31,0.0035331661727832,0.9902754738126164,0.9974743987201626,2,2,0.00029442072721919626,9031,Gallus gallus,NUP210,,R-GGA-158441;R-GGA-158447,0.004243977003490503
2672,R-GGA-162710,Synthesis of glycosylphosphatidylinositol (GPI),1,31,0.0035331661727832,0.9902754738126164,0.9974743987201626,1,7,0.0010304725452671,9031,Gallus gallus,PIGV,,R-GGA-162873,0.004243977003490503
2673,R-GGA-5654708,Downstream signaling of activated FGFR3,1,31,0.0035331661727832,0.9902754738126164,0.9974743987201626,3,23,0.0033858383630207,9031,Gallus gallus,KRAS,,R-GGA-8941628;R-GGA-5654413;R-GGA-5654647,0.004243977003490503
2674,R-GGA-392518,Signal amplification,1,31,0.0035331661727832,0.9902754738126164,0.9974743987201626,1,14,0.0020609450905343,9031,Gallus gallus,GNAI2,,R-GGA-392195,0.004243977003490503
2675,R-XTR-5654696,Downstream signaling of activated FGFR2,1,30,0.0035348179568752,0.9902965517347132,0.9971887447023138,15,15,0.0024481801860616,8364,Xenopus tropicalis,FGFR2,,R-XTR-5654147;R-XTR-5654397;R-XTR-5654399;R-XTR-8941618;R-XTR-5654607;R-XTR-5654402;R-XTR-5654608;R-XTR-5654614;R-XTR-5654157;R-XTR-5654159;R-XTR-5654615;R-XTR-5654697;R-XTR-5654618;R-XTR-5654701;R-XTR-5654622,0.00423473318388798
2676,R-XTR-5654732,Negative regulation of FGFR3 signaling,1,30,0.0035348179568752,0.9902965517347132,0.9971887447023138,7,14,0.0022849681736575,8364,Xenopus tropicalis,PPP2R1A,,R-XTR-1295613;R-XTR-1295632;R-XTR-1295609;R-XTR-1295599;R-XTR-1295622;R-XTR-934559;R-XTR-1549564,0.00423473318388798
2677,R-XTR-8978934,Metabolism of cofactors,1,30,0.0035348179568752,0.9902965517347132,0.9971887447023138,2,8,0.0013056960992329,8364,Xenopus tropicalis,SPR,,R-XTR-1497869;R-XTR-1475414,0.00423473318388798
2678,R-XTR-1236394,Signaling by ERBB4,1,30,0.0035348179568752,0.9902965517347132,0.9971887447023138,1,19,0.0031010282356781,8364,Xenopus tropicalis,EGFR,,R-XTR-1977959,0.00423473318388798
2679,R-DRE-177929,Signaling by EGFR,2,52,0.0050950421320791,0.9903883110787852,0.9976233031343844,3,43,0.0058535257282875,7955,Danio rerio,KRAS;PTPRK,,R-DRE-177945;R-DRE-183036;R-DRE-177938,0.004194493994332664
2680,R-BTA-68962,Activation of the pre-replicative complex,1,37,0.0035444008046747,0.990417938014044,0.9917786650805974,7,9,0.0011353601614734,9913,Bos taurus,MCM8,,R-BTA-68914;R-BTA-68940;R-BTA-68919;R-BTA-68917;R-BTA-68916;R-BTA-68960;R-BTA-68918,0.004181502502100207
2681,R-BTA-390247,Beta-oxidation of very long chain fatty acids,1,37,0.0035444008046747,0.990417938014044,0.9917786650805974,2,11,0.0013876624195786,9913,Bos taurus,HSD17B4,,R-BTA-390251;R-BTA-390252,0.004181502502100207
2682,R-MMU-168643,"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",2,55,0.0050992026701279,0.9904339547147608,0.9904339547147608,4,30,0.0036612155235538,10090,Mus musculus,HSP90AB1;MAPK13,,R-MMU-874087;R-MMU-1247960;R-MMU-873951;R-MMU-1306876,0.0041744792968163615
2683,R-RNO-977443,GABA receptor activation,3,67,0.0064615681357893,0.9905622731960796,0.9907144498866054,6,9,0.0011393847322445,10116,Rattus norvegicus,GNB2;GNB3;GNAI2,,R-RNO-170671;R-RNO-170666;R-RNO-170674;R-RNO-170686;R-RNO-1013020;R-RNO-1013012,0.004118216687472917
2684,R-HSA-69601,Ubiquitin Mediated Degradation of Phosphorylated Cdc25A,1,54,0.0035662395984678,0.9906889317412882,0.9906889317412882,1,4,0.0002871088142405972,9606,Homo sapiens,CHEK2,,R-HSA-69608,0.004062689041904431
2685,R-HSA-69613,p53-Independent G1/S DNA damage checkpoint,1,54,0.0035662395984678,0.9906889317412882,0.9906889317412882,1,4,0.0002871088142405972,9606,Homo sapiens,CHEK2,,R-HSA-69608,0.004062689041904431
2686,R-HSA-69610,p53-Independent DNA Damage Response,1,54,0.0035662395984678,0.9906889317412882,0.9906889317412882,1,4,0.0002871088142405972,9606,Homo sapiens,CHEK2,,R-HSA-69608,0.004062689041904431
2687,R-HSA-168274,Export of Viral Ribonucleoproteins from Nucleus,1,54,0.0035662395984678,0.9906889317412882,0.9906889317412882,1,5,0.0003588860178007465,9606,Homo sapiens,NUP210,,R-HSA-168880,0.004062689041904431
2688,R-HSA-9660826,Purinergic signaling in leishmaniasis infection,1,54,0.0035662395984678,0.9906889317412882,0.9906889317412882,3,23,0.0016508756818834,9606,Homo sapiens,HSP90AB1,,R-HSA-873951;R-HSA-874087;R-HSA-1306876,0.004062689041904431
2689,R-HSA-9664424,Cell recruitment (pro-inflammatory response),1,54,0.0035662395984678,0.9906889317412882,0.9906889317412882,3,23,0.0016508756818834,9606,Homo sapiens,HSP90AB1,,R-HSA-873951;R-HSA-874087;R-HSA-1306876,0.004062689041904431
2690,R-HSA-75153,Apoptotic execution phase,1,54,0.0035662395984678,0.9906889317412882,0.9906889317412882,1,57,0.0040913006029285,9606,Homo sapiens,DBNL,,R-HSA-202966,0.004062689041904431
2691,R-RNO-8939243,RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known,1,37,0.003568328672003,0.9907144498866054,0.9907144498866054,1,3,0.000379794910748196,10116,Rattus norvegicus,SMARCA2,,R-RNO-8938217,0.004051502637557881
2692,R-RNO-390247,Beta-oxidation of very long chain fatty acids,1,37,0.003568328672003,0.9907144498866054,0.9907144498866054,2,11,0.00139258133941,10116,Rattus norvegicus,HSD17B4,,R-RNO-390251;R-RNO-390252,0.004051502637557881
2693,R-RNO-1614558,Degradation of cysteine and homocysteine,1,37,0.003568328672003,0.9907144498866054,0.9907144498866054,2,16,0.0020255728573237,10116,Rattus norvegicus,TXN2,,R-RNO-9035227;R-RNO-9035484,0.004051502637557881
2694,R-RNO-189483,Heme degradation,1,37,0.003568328672003,0.9907144498866054,0.9907144498866054,1,16,0.0020255728573237,10116,Rattus norvegicus,ABCC2,,R-RNO-5679041,0.004051502637557881
2695,R-CFA-977443,GABA receptor activation,3,63,0.0064821483691737,0.9907625426125214,0.9928297628453584,7,10,0.0013497098123903,9615,Canis familiaris,GNB2;GNB3;GNAI2,,R-CFA-170671;R-CFA-170686;R-CFA-1013012;R-CFA-170674;R-CFA-1013013;R-CFA-1013020;R-CFA-170666,0.004030420984257673
2696,R-CFA-6811440,Retrograde transport at the Trans-Golgi-Network,2,50,0.0051445621977569,0.9909180401196356,0.9928297628453584,6,19,0.0025644486435416,9615,Canis familiaris,TGOLN2;IGF2R,,R-CFA-6814675;R-CFA-6814670;R-CFA-6811431;R-CFA-6814682;R-CFA-6814671;R-CFA-6814674,0.003962264985741607
2697,R-CFA-112399,IRS-mediated signalling,2,50,0.0051445621977569,0.9909180401196356,0.9928297628453584,2,7,0.0009447968686732351,9615,Canis familiaris,TRIB3;FGFR2,,R-CFA-109699;R-CFA-109700,0.003962264985741607
2698,R-BTA-416482,G alpha (12/13) signalling events,4,81,0.0077593639237474,0.990976201019281,0.9917786650805974,7,15,0.001892266935789,9913,Bos taurus,ROCK2;GNB2;ITSN1;GNB3,,R-BTA-419166;R-BTA-751027;R-BTA-751029;R-BTA-9680443;R-BTA-751039;R-BTA-419049;R-BTA-751019,0.003936775272656557
2699,R-HSA-9013408,RHOG GTPase cycle,2,78,0.0051512349755646,0.9909872029557086,0.9909872029557086,1,6,0.0004306632213608958,9606,Homo sapiens,ITSN1;KALRN,,R-HSA-9014433,0.003931953710087589
2700,R-BTA-189445,Metabolism of porphyrins,3,68,0.0065140339112941,0.9910647506494412,0.9917786650805974,4,30,0.0037845338715781,9913,Bos taurus,ALAS2;ABCC2;SLCO1B3,,R-BTA-9661799;R-BTA-9661397;R-BTA-5679041;R-BTA-189442,0.0038979702058425957
2701,R-SSC-8978934,Metabolism of cofactors,1,36,0.0036007201440288,0.9911012886728996,0.9921970602113253,3,10,0.0013338668800853,9823,Sus scrofa,SPR,,R-SSC-1497869;R-SSC-1497853;R-SSC-1475414,0.003881959173815383
2702,R-SSC-2424491,DAP12 signaling,1,36,0.0036007201440288,0.9911012886728996,0.9921970602113253,1,16,0.0021341870081365,9823,Sus scrofa,KRAS,,R-SSC-2424477,0.003881959173815383
2703,R-SSC-8948216,Collagen chain trimerization,1,36,0.0036007201440288,0.9911012886728996,0.9921970602113253,1,25,0.0033346672002134,9823,Sus scrofa,COL6A3,,R-SSC-8944247,0.003881959173815383
2704,R-CFA-2022928,HS-GAG biosynthesis,1,35,0.0036011935384298,0.9911068211744058,0.9928297628453584,10,11,0.0014846807936293,9615,Canis familiaris,SDC1,,R-CFA-2022860;R-CFA-2022887;R-CFA-2076508;R-CFA-2022851;R-CFA-2024108;R-CFA-2076419;R-CFA-2022856;R-CFA-2022919;R-CFA-2076611;R-CFA-2076392,0.0038795348724886373
2705,R-CFA-5654726,Negative regulation of FGFR1 signaling,1,35,0.0036011935384298,0.9911068211744058,0.9928297628453584,7,15,0.0020245647185855,9615,Canis familiaris,PPP2R1A,,R-CFA-1295632;R-CFA-1295613;R-CFA-1295622;R-CFA-1295609;R-CFA-1295599;R-CFA-1549564;R-CFA-934559,0.0038795348724886373
2706,R-CFA-1489509,DAG and IP3 signaling,1,35,0.0036011935384298,0.9911068211744058,0.9928297628453584,1,10,0.0013497098123903,9615,Canis familiaris,PRKCE,,R-CFA-198314,0.0038795348724886373
2707,R-MMU-176187,Activation of ATR in response to replication stress,1,39,0.0036157982569998,0.9912758264053836,0.9912758264053836,2,9,0.0010983646570661,10090,Mus musculus,MCM8,,R-MMU-176298;R-MMU-176318,0.0038054845477505273
2708,R-MMU-168928,DDX58/IFIH1-mediated induction of interferon-alpha/beta,1,39,0.0036157982569998,0.9912758264053836,0.9912758264053836,1,15,0.0018306077617769,10090,Mus musculus,HSP90AB1,,R-MMU-9709831,0.0038054845477505273
2709,R-MMU-389356,CD28 co-stimulation,1,39,0.0036157982569998,0.9912758264053836,0.9912758264053836,1,18,0.0021967293141322,10090,Mus musculus,TRIB3,,R-MMU-198640,0.0038054845477505273
2710,R-MMU-202131,Metabolism of nitric oxide: NOS3 activation and regulation,1,39,0.0036157982569998,0.9912758264053836,0.9912758264053836,1,24,0.002928972418843,10090,Mus musculus,SPR,,R-MMU-1497869,0.0038054845477505273
2711,R-XTR-9006927,Signaling by Non-Receptor Tyrosine Kinases,2,44,0.0051843996700836,0.9913233873747208,0.9971887447023138,7,33,0.0053859964093357,8364,Xenopus tropicalis,GPNMB;EGFR,,R-XTR-8847995;R-XTR-9634702;R-XTR-8857583;R-XTR-8857549;R-XTR-8848005;R-XTR-8857577;R-XTR-8857555,0.0037846477932541854
2712,R-XTR-8848021,Signaling by PTK6,2,44,0.0051843996700836,0.9913233873747208,0.9971887447023138,7,33,0.0053859964093357,8364,Xenopus tropicalis,GPNMB;EGFR,,R-XTR-8847995;R-XTR-9634702;R-XTR-8857583;R-XTR-8857549;R-XTR-8848005;R-XTR-8857577;R-XTR-8857555,0.0037846477932541854
2713,R-DRE-6814122,Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding,1,37,0.0036253184401332,0.9913842618877842,0.9976233031343844,7,11,0.0014974135583991,7955,Danio rerio,GNB2,,R-DRE-6814418;R-DRE-6814120;R-DRE-6814124;R-DRE-6814121;R-DRE-8850560;R-DRE-6814119;R-DRE-8850527,0.003757979751568761
2714,R-DRE-5654727,Negative regulation of FGFR2 signaling,1,37,0.0036253184401332,0.9913842618877842,0.9976233031343844,3,13,0.0017696705690171,7955,Danio rerio,FGFR2,,R-DRE-5654729;R-DRE-5654562;R-DRE-5654677,0.003757979751568761
2715,R-DRE-194002,Glucocorticoid biosynthesis,1,37,0.0036253184401332,0.9913842618877842,0.9976233031343844,1,7,0.000952899537163082,7955,Danio rerio,SERPINA1,,R-DRE-1449687,0.003757979751568761
2716,R-DRE-71240,Tryptophan catabolism,1,37,0.0036253184401332,0.9913842618877842,0.9976233031343844,1,9,0.0012251565477811,7955,Danio rerio,KMO,,R-DRE-71200,0.003757979751568761
2717,R-DRE-182971,EGFR downregulation,1,37,0.0036253184401332,0.9913842618877842,0.9976233031343844,1,21,0.0028586986114892,7955,Danio rerio,PTPRK,,R-DRE-183036,0.003757979751568761
2718,R-DRE-445717,Aquaporin-mediated transport,2,53,0.0051930237115422,0.9914087800025636,0.9976233031343844,6,19,0.0025864416008712,7955,Danio rerio,GNB2;AQP7,,R-DRE-507871;R-DRE-507869;R-DRE-507870;R-DRE-432195;R-DRE-507868;R-DRE-432074,0.0037472392640534617
2719,R-RNO-418346,Platelet homeostasis,4,81,0.0078117465522229,0.9914238606450292,0.9914238606450292,6,22,0.0027851626788201,10116,Rattus norvegicus,SLC8A3;PPP2R1A;P2RX1;ITPR1,,R-RNO-425661;R-RNO-432143;R-RNO-418442;R-RNO-419490;R-RNO-139854;R-RNO-139855,0.0037406331192157962
2720,R-HSA-3560782,Diseases associated with glycosaminoglycan metabolism,1,55,0.0036322810725135,0.9914627130972176,0.9914627130972176,11,29,0.0020815389032443,9606,Homo sapiens,SDC1,,R-HSA-3560804;R-HSA-9036283;R-HSA-3656261;R-HSA-3560802;R-HSA-9036285;R-HSA-3656257;R-HSA-9036289;R-HSA-3656254;R-HSA-9036290;R-HSA-3656267;R-HSA-4420365,0.003723614086640336
2721,R-HSA-3214858,RMTs methylate histone arginines,1,55,0.0036322810725135,0.9914627130972176,0.9914627130972176,3,22,0.0015790984783232,9606,Homo sapiens,SMARCA2,,R-HSA-5205799;R-HSA-3215448;R-HSA-5205861,0.003723614086640336
2722,R-HSA-445989,TAK1-dependent IKK and NF-kappa-B activation  ,1,55,0.0036322810725135,0.9914627130972176,0.9914627130972176,2,17,0.0012202124605225,9606,Homo sapiens,IRAK1,,R-HSA-9758604;R-HSA-168184,0.003723614086640336
2723,R-HSA-3928665,EPH-ephrin mediated repulsion of cells,1,55,0.0036322810725135,0.9914627130972176,0.9914627130972176,1,9,0.0006459948320413437,9606,Homo sapiens,NCSTN,,R-HSA-3928656,0.003723614086640336
2724,R-HSA-2046104,alpha-linolenic (omega3) and linoleic (omega6) acid metabolism,1,55,0.0036322810725135,0.9914627130972176,0.9914627130972176,2,25,0.0017944300890037,9606,Homo sapiens,HSD17B4,,R-HSA-2066780;R-HSA-2066778,0.003723614086640336
2725,R-HSA-1483191,Synthesis of PC,1,55,0.0036322810725135,0.9914627130972176,0.9914627130972176,1,18,0.0012919896640826,9606,Homo sapiens,PEMT,,R-HSA-1483174,0.003723614086640336
2726,R-SSC-4086398,Ca2+ pathway,2,52,0.0052010402080416,0.9914874197931,0.9921970602113253,4,10,0.0013338668800853,9823,Sus scrofa,GNB2;GNB3,,R-SSC-3965447;R-SSC-398040;R-SSC-398193;R-SSC-3965444,0.0037127918460702213
2727,R-SSC-3000178,ECM proteoglycans,2,52,0.0052010402080416,0.9914874197931,0.9921970602113253,3,14,0.0018674136321195,9823,Sus scrofa,COL6A3;ITGA7,,R-SSC-2327909;R-SSC-2681667;R-SSC-2466106,0.0037127918460702213
2728,R-SSC-5578775,Ion homeostasis,2,52,0.0052010402080416,0.9914874197931,0.9921970602113253,3,15,0.002000800320128,9823,Sus scrofa,SLC8A3;ITPR1,,R-SSC-139854;R-SSC-425661;R-SSC-5226904,0.0037127918460702213
2729,R-BTA-3232142,SUMOylation of ubiquitinylation proteins,1,38,0.0036401954210173,0.9915510212694852,0.9917786650805974,1,3,0.0003784533871578151,9913,Bos taurus,NUP210,,R-BTA-5228523,0.003684933818033507
2730,R-BTA-8939243,RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known,1,38,0.0036401954210173,0.9915510212694852,0.9917786650805974,1,5,0.0006307556452630251,9913,Bos taurus,SMARCA2,,R-BTA-8938217,0.003684933818033507
2731,R-BTA-5654687,Downstream signaling of activated FGFR1,1,38,0.0036401954210173,0.9915510212694852,0.9917786650805974,3,24,0.0030276270972625,9913,Bos taurus,KRAS,,R-BTA-5654392;R-BTA-8941623;R-BTA-5654600,0.003684933818033507
2732,R-BTA-71240,Tryptophan catabolism,1,38,0.0036401954210173,0.9915510212694852,0.9917786650805974,1,10,0.001261511290526,9913,Bos taurus,KMO,,R-BTA-71200,0.003684933818033507
